,identifier,titleEn,scopeEn
140,29.140,Lamps and related equipment,
141,29.160,Rotating machinery,
142,29.180,Transformers. Reactors,
143,29.200,Rectifiers. Converters. Stabilized power supply,Including semiconductor converters
144,29.220,Galvanic cells and batteries,
145,29.240,Power transmission and distribution networks,
146,29.260,Electrical equipment for working in special conditions,
147,29.280,Electric traction equipment,Including railway electric fixed installations
148,31.020,Electronic components in general,
149,31.040,Resistors,
150,31.060,Capacitors,
151,31.080,Semiconductor devices,
152,31.100,Electronic tubes,
153,31.120,Electronic display devices,Including liquid crystal displays
154,31.140,Piezoelectric devices,
155,31.160,Electric filters,
156,31.180,Printed circuits and boards,
157,31.190,Electronic component assemblies,Including preassembled modules
158,31.200,Integrated circuits. Microelectronics,"Including electronic chips, logical and analogue microstructures"
159,31.220,Electromechanical components for electronic and telecommunications equipment,
160,31.240,Mechanical structures for electronic equipment,
161,31.260,Optoelectronics. Laser equipment,Including photoelectric tubes and cells
162,33.020,Telecommunications in general,Including infrastructure
163,33.030,Telecommunication services. Applications,"Including supplementary services, service aspects and associated legal traceability aspects"
164,33.040,Telecommunication systems,Including network (system) aspects
165,33.050,Telecommunication terminal equipment,
166,33.060,Radiocommunications,
167,33.070,Mobile services,
168,33.080,Integrated Services Digital Network (ISDN),
169,33.100,Electromagnetic compatibility (EMC),Including radio interference
170,33.120,Components and accessories for telecommunications equipment,
171,33.140,Special measuring equipment for use in telecommunications,
172,33.160,"Audio, video and audiovisual engineering",
173,33.170,Television and radio broadcasting,
174,33.180,Fibre optic communications,
175,33.200,Telecontrol. Telemetering,"Including Supervising, Control and Data Acquisition System (SCADA)"
176,35.020,Information technology (IT) in general,Including general aspects of IT equipment
177,35.030,IT Security,Including encryption
178,35.040,Information coding,"Including coding of audio, picture, multimedia and hypermedia information, bar coding, etc."
179,35.060,Languages used in information technology,
180,35.080,Software,"Including software development, documentation and use"
181,35.100,Open systems interconnection (OSI),
182,35.110,Networking,"Including local area networks (LAN), metropolitan area networks (MAN), wide area networks (WAN), etc."
183,35.140,Computer graphics,
184,35.160,Microprocessor systems,"Including PCs, calculators, etc."
185,35.180,IT terminal and other peripheral equipment,Including modems
186,35.200,Interface and interconnection equipment,
187,35.210,Cloud computing,
188,35.220,Data storage devices,
189,35.240,Applications of information technology,
190,35.260,Office machines,"Including typewriters, dictation equipment, addressing machines, letter opening machines, letter folding machines, postal franking machines, their ribbons and other accessories, etc."
191,37.020,Optical equipment,"Including microscopes, telescopes, binoculars, optical materials, optical components and optical systems"
192,37.040,Photography,
193,37.060,Cinematography,
194,37.080,Document imaging applications,"Including micrographic, electronic and optical applications"
195,37.100,Graphic technology,
196,39.020,Precision mechanics,Including microsystems
197,39.040,Horology,
198,39.060,Jewellery,"Including precious metals, precious and semi-precious stones"
199,43.020,Road vehicles in general,Including testing and recycling of road vehicles
200,43.040,Road vehicle systems,
201,43.060,Internal combustion engines for road vehicles,
202,43.080,Commercial vehicles,
203,43.100,Passenger cars. Caravans and light trailers,
204,43.120,Electric road vehicles,Including their components and systems
205,43.140,Motorcycles and mopeds,Including their components and systems
